List,Seen,Name,Year,IMDB
1000+ Movies to Watch Before You Die,false,Ye ban ge sheng,1935,tt0206442
1000+ Movies to Watch Before You Die,false,Peter Ibbetson,1935,tt0026866
1000+ Movies to Watch Before You Die,false,Triumph of the Will,1935,tt0025913
1000+ Movies to Watch Before You Die,false,Mutiny on the Bounty,1935,tt0026752
1000+ Movies to Watch Before You Die,false,The 39 Steps,1935,tt0026029
1000+ Movies to Watch Before You Die,false,A Night at the Opera,1935,tt0026778
1000+ Movies to Watch Before You Die,false,Bride of Frankenstein,1935,tt0026138
1000+ Movies to Watch Before You Die,false,Captain Blood,1935,tt0026174
1000+ Movies to Watch Before You Die,false,Mr. Deeds Goes to Town,1936,tt0027996
1000+ Movies to Watch Before You Die,false,The Story of a Cheat,1936,tt0028201
1000+ Movies to Watch Before You Die,false,Modern Times,1936,tt0027977
1000+ Movies to Watch Before You Die,false,Swing Time,1936,tt0028333
1000+ Movies to Watch Before You Die,false,My Man Godfrey,1936,tt0028010
1000+ Movies to Watch Before You Die,false,Camille,1936,tt0028683
1000+ Movies to Watch Before You Die,false,Things to Come,1936,tt0028358
1000+ Movies to Watch Before You Die,false,Dodsworth,1936,tt0027532
1000+ Movies to Watch Before You Die,false,Sabotage,1936,tt0028212
1000+ Movies to Watch Before You Die,false,Make Way for Tomorrow,1937,tt0029192
1000+ Movies to Watch Before You Die,false,Stella Dallas,1937,tt0029608
1000+ Movies to Watch Before You Die,false,Snow White and the Seven Dwarfs,1937,tt0029583
1000+ Movies to Watch Before You Die,false,Captains Courageous,1937,tt0028691
1000+ Movies to Watch Before You Die,false,The Awful Truth,1937,tt0028597
1000+ Movies to Watch Before You Die,false,The Life of Emile Zola,1937,tt0029146
1000+ Movies to Watch Before You Die,false,The Grand Illusion,1937,tt0028950
1000+ Movies to Watch Before You Die,false,Pépé le Moko,1937,tt0029453
1000+ Movies to Watch Before You Die,false,Olympia Part One: Festival of the Nations,1938,tt0030522
1000+ Movies to Watch Before You Die,false,Jezebel,1938,tt0030287
1000+ Movies to Watch Before You Die,false,The Adventures of Robin Hood,1938,tt0029843
1000+ Movies to Watch Before You Die,false,Angels with Dirty Faces,1938,tt0029870
1000+ Movies to Watch Before You Die,false,The Lady Vanishes,1938,tt0030341
1000+ Movies to Watch Before You Die,false,Bringing Up Baby,1938,tt0029947
1000+ Movies to Watch Before You Die,false,The Baker's Wife,1938,tt0030127
1000+ Movies to Watch Before You Die,false,Olympia Part Two: Festival of Beauty,1938,tt0030523
1000+ Movies to Watch Before You Die,false,Destry Rides Again,1939,tt0031225
1000+ Movies to Watch Before You Die,false,The Rules of the Game,1939,tt0031885
1000+ Movies to Watch Before You Die,false,Wuthering Heights,1939,tt0032145
1000+ Movies to Watch Before You Die,false,Mr. Smith Goes to Washington,1939,tt0031679
1000+ Movies to Watch Before You Die,false,Stagecoach,1939,tt0031971
1000+ Movies to Watch Before You Die,false,Only Angels Have Wings,1939,tt0031762
1000+ Movies to Watch Before You Die,false,Gone with the Wind,1939,tt0031381
1000+ Movies to Watch Before You Die,false,Gunga Din,1939,tt0031398
1000+ Movies to Watch Before You Die,false,Ninotchka,1939,tt0031725
1000+ Movies to Watch Before You Die,false,The Wizard of Oz,1939,tt0032138
1000+ Movies to Watch Before You Die,false,Babes in Arms,1939,tt0031066
1000+ Movies to Watch Before You Die,false,The Story of the Last Chrysanthemum,1939,tt0032156
1000+ Movies to Watch Before You Die,false,The Mortal Storm,1940,tt0032811
1000+ Movies to Watch Before You Die,false,Pinocchio,1940,tt0032910
1000+ Movies to Watch Before You Die,false,"Dance, Girl, Dance",1940,tt0032376
1000+ Movies to Watch Before You Die,false,High Sierra,1940,tt0033717
1000+ Movies to Watch Before You Die,false,His Girl Friday,1940,tt0032599
1000+ Movies to Watch Before You Die,false,Fantasia,1940,tt0032455
1000+ Movies to Watch Before You Die,false,Rebecca,1940,tt0032976
1000+ Movies to Watch Before You Die,false,The Philadelphia Story,1940,tt0032904
1000+ Movies to Watch Before You Die,false,The Grapes of Wrath,1940,tt0032551
1000+ Movies to Watch Before You Die,false,The Bank Dick,1940,tt0032234
1000+ Movies to Watch Before You Die,false,How Green Was My Valley,1941,tt0033729
1000+ Movies to Watch Before You Die,false,Sullivan's Travels,1941,tt0034240
1000+ Movies to Watch Before You Die,false,The Maltese Falcon,1941,tt0033870
1000+ Movies to Watch Before You Die,false,Dumbo,1941,tt0033563
1000+ Movies to Watch Before You Die,false,The Wolf Man,1941,tt0034398
1000+ Movies to Watch Before You Die,false,The Lady Eve,1941,tt0033804
1000+ Movies to Watch Before You Die,false,Sergeant York,1941,tt0034167
1000+ Movies to Watch Before You Die,false,Citizen Kane,1941,tt0033467
1000+ Movies to Watch Before You Die,false,The Ox-Bow Incident,1942,tt0036244
1000+ Movies to Watch Before You Die,true,Casablanca,1942,tt0034583
1000+ Movies to Watch Before You Die,false,Yankee Doodle Dandy,1942,tt0035575
1000+ Movies to Watch Before You Die,false,The Magnificent Ambersons,1942,tt0035015
1000+ Movies to Watch Before You Die,false,"Now, Voyager",1942,tt0035140
1000+ Movies to Watch Before You Die,false,The Palm Beach Story,1942,tt0035169
1000+ Movies to Watch Before You Die,false,Mrs. Miniver,1942,tt0035093
1000+ Movies to Watch Before You Die,false,To Be or Not to Be,1942,tt0035446
1000+ Movies to Watch Before You Die,false,Cat People,1942,tt0034587
1000+ Movies to Watch Before You Die,false,The Man in Grey,1943,tt0036135
1000+ Movies to Watch Before You Die,false,I Walked with a Zombie,1943,tt0036027
1000+ Movies to Watch Before You Die,false,Obsession,1943,tt0035160
1000+ Movies to Watch Before You Die,false,Fires Were Started,1943,tt0035881
1000+ Movies to Watch Before You Die,false,The Life and Death of Colonel Blimp,1943,tt0036112
1000+ Movies to Watch Before You Die,false,Meshes of the Afternoon,1943,tt0036154
1000+ Movies to Watch Before You Die,false,The Seventh Victim,1943,tt0036341
1000+ Movies to Watch Before You Die,false,Shadow of a Doubt,1943,tt0036342
1000+ Movies to Watch Before You Die,false,To Have and Have Not,1944,tt0037382
1000+ Movies to Watch Before You Die,false,"Murder, My Sweet",1944,tt0037101
1000+ Movies to Watch Before You Die,false,"Ivan the Terrible, Part I",1944,tt0037824
1000+ Movies to Watch Before You Die,false,Laura,1944,tt0037008
1000+ Movies to Watch Before You Die,false,Meet Me in St. Louis,1944,tt0037059
1000+ Movies to Watch Before You Die,false,Gaslight,1944,tt0036855
1000+ Movies to Watch Before You Die,false,Henry V,1944,tt0036910
1000+ Movies to Watch Before You Die,false,Double Indemnity,1944,tt0036775
1000+ Movies to Watch Before You Die,false,Spellbound,1945,tt0038109
1000+ Movies to Watch Before You Die,false,Children of Paradise,1945,tt0037674
1000+ Movies to Watch Before You Die,false,San Pietro,1945,tt0036630
1000+ Movies to Watch Before You Die,false,"Rome, Open City",1945,tt0038890
1000+ Movies to Watch Before You Die,false,Mildred Pierce,1945,tt0037913
1000+ Movies to Watch Before You Die,false,Detour,1945,tt0037638
1000+ Movies to Watch Before You Die,false,I Know Where I'm Going!,1945,tt0037800
1000+ Movies to Watch Before You Die,false,The Lost Weekend,1945,tt0037884
1000+ Movies to Watch Before You Die,false,Brief Encounter,1945,tt0037558
1000+ Movies to Watch Before You Die,false,A Matter of Life and Death,1946,tt0038733
1000+ Movies to Watch Before You Die,false,The Big Sleep,1946,tt0038355
1000+ Movies to Watch Before You Die,false,Beauty and the Beast,1946,tt0038348
1000+ Movies to Watch Before You Die,false,The Best Years of Our Lives,1946,tt0036868
1000+ Movies to Watch Before You Die,false,Paisan,1946,tt0038823
1000+ Movies to Watch Before You Die,false,The Postman Always Rings Twice,1946,tt0038854
1000+ Movies to Watch Before You Die,false,The Killers,1946,tt0038669
1000+ Movies to Watch Before You Die,false,A Day in the Country,1946,tt0028445
1000+ Movies to Watch Before You Die,false,Great Expectations,1946,tt0038574
1000+ Movies to Watch Before You Die,false,It's a Wonderful Life,1946,tt0038650
1000+ Movies to Watch Before You Die,false,The Stranger,1946,tt0038991
1000+ Movies to Watch Before You Die,false,Notorious,1946,tt0038787
1000+ Movies to Watch Before You Die,false,My Darling Clementine,1946,tt0038762
1000+ Movies to Watch Before You Die,false,Gilda,1946,tt0038559
1000+ Movies to Watch Before You Die,false,Odd Man Out,1947,tt0039677
1000+ Movies to Watch Before You Die,false,Out of the Past,1947,tt0039689
1000+ Movies to Watch Before You Die,false,Black Narcissus,1947,tt0039192
1000+ Movies to Watch Before You Die,false,The Lady from Shanghai,1947,tt0040525
1000+ Movies to Watch Before You Die,false,Secret Beyond the Door...,1947,tt0040766
1000+ Movies to Watch Before You Die,false,The Ghost and Mrs. Muir,1947,tt0039420
1000+ Movies to Watch Before You Die,false,Monsieur Verdoux,1947,tt0039631
1000+ Movies to Watch Before You Die,false,Force of Evil,1948,tt0040366
1000+ Movies to Watch Before You Die,false,Spring in a Small Town,1948,tt0189219
1000+ Movies to Watch Before You Die,false,Letter from an Unknown Woman,1948,tt0040536
1000+ Movies to Watch Before You Die,false,The Red Shoes,1948,tt0040725
1000+ Movies to Watch Before You Die,false,Red River,1948,tt0040724
1000+ Movies to Watch Before You Die,false,The Paleface,1948,tt0040679
1000+ Movies to Watch Before You Die,false,The Snake Pit,1948,tt0040806
1000+ Movies to Watch Before You Die,false,Rope,1948,tt0040746
1000+ Movies to Watch Before You Die,false,The Treasure of the Sierra Madre,1948,tt0040897
1000+ Movies to Watch Before You Die,false,Louisiana Story,1948,tt0040550
1000+ Movies to Watch Before You Die,false,Bicycle Thieves,1948,tt0040522
1000+ Movies to Watch Before You Die,false,The Third Man,1949,tt0041959
1000+ Movies to Watch Before You Die,false,On the Town,1949,tt0041716
1000+ Movies to Watch Before You Die,false,Whisky Galore!,1949,tt0042040
1000+ Movies to Watch Before You Die,false,The Reckless Moment,1949,tt0041786
1000+ Movies to Watch Before You Die,false,White Heat,1949,tt0042041
1000+ Movies to Watch Before You Die,false,Adam's Rib,1949,tt0041090
1000+ Movies to Watch Before You Die,false,The Heiress,1949,tt0041452
1000+ Movies to Watch Before You Die,false,Kind Hearts and Coronets,1949,tt0041546
1000+ Movies to Watch Before You Die,false,Rio Grande,1950,tt0042895
1000+ Movies to Watch Before You Die,false,Sunset Blvd.,1950,tt0043014
1000+ Movies to Watch Before You Die,false,In a Lonely Place,1950,tt0042593
1000+ Movies to Watch Before You Die,false,Winchester '73,1950,tt0043137
1000+ Movies to Watch Before You Die,false,All About Eve,1950,tt0042192
1000+ Movies to Watch Before You Die,false,Rashomon,1950,tt0042876
1000+ Movies to Watch Before You Die,false,The Asphalt Jungle,1950,tt0042208
1000+ Movies to Watch Before You Die,false,Orpheus,1950,tt0041719
1000+ Movies to Watch Before You Die,false,The Young and the Damned,1950,tt0042804
1000+ Movies to Watch Before You Die,false,Gun Crazy,1950,tt0042530
1000+ Movies to Watch Before You Die,false,Strangers on a Train,1951,tt0044079
1000+ Movies to Watch Before You Die,false,The Lavender Hill Mob,1951,tt0044829
1000+ Movies to Watch Before You Die,false,The Day the Earth Stood Still,1951,tt0043456
1000+ Movies to Watch Before You Die,false,A Place in the Sun,1951,tt0043924
1000+ Movies to Watch Before You Die,false,The African Queen,1951,tt0043265
1000+ Movies to Watch Before You Die,false,Pandora and the Flying Dutchman,1951,tt0043899
1000+ Movies to Watch Before You Die,false,An American in Paris,1951,tt0043278
1000+ Movies to Watch Before You Die,false,A Streetcar Named Desire,1951,tt0044081
1000+ Movies to Watch Before You Die,false,Diary of a Country Priest,1951,tt0042619
1000+ Movies to Watch Before You Die,false,Angel Face,1952,tt0044357
1000+ Movies to Watch Before You Die,false,High Noon,1952,tt0044706
1000+ Movies to Watch Before You Die,false,The Big Sky,1952,tt0044419
1000+ Movies to Watch Before You Die,false,The Golden Coach,1952,tt0044487
1000+ Movies to Watch Before You Die,false,Europe '51,1952,tt0043511
1000+ Movies to Watch Before You Die,false,Forbidden Games,1952,tt0043686
1000+ Movies to Watch Before You Die,false,The Quiet Man,1952,tt0045061
1000+ Movies to Watch Before You Die,false,Singin' in the Rain,1952,tt0045152
1000+ Movies to Watch Before You Die,false,The Bad and the Beautiful,1952,tt0044391
1000+ Movies to Watch Before You Die,false,Umberto D.,1952,tt0045274
1000+ Movies to Watch Before You Die,false,The Naked Spur,1953,tt0044953
1000+ Movies to Watch Before You Die,false,The Wages of Fear,1953,tt0046268
1000+ Movies to Watch Before You Die,false,Summer with Monika,1953,tt0046345
1000+ Movies to Watch Before You Die,false,Pickup on South Street,1953,tt0046187
1000+ Movies to Watch Before You Die,false,The Band Wagon,1953,tt0045537
1000+ Movies to Watch Before You Die,false,The Earrings of Madame De...,1953,tt0046022
1000+ Movies to Watch Before You Die,false,The Bigamist,1953,tt0045557
1000+ Movies to Watch Before You Die,false,Tokyo Story,1953,tt0046438
1000+ Movies to Watch Before You Die,false,From Here to Eternity,1953,tt0045793
1000+ Movies to Watch Before You Die,false,Shane,1953,tt0046303
1000+ Movies to Watch Before You Die,false,Gentlemen Prefer Blondes,1953,tt0045810
1000+ Movies to Watch Before You Die,false,Roman Holiday,1953,tt0046250
1000+ Movies to Watch Before You Die,false,The Big Heat,1953,tt0045555
1000+ Movies to Watch Before You Die,false,Beat the Devil,1953,tt0046414
1000+ Movies to Watch Before You Die,false,Monsieur Hulot's Holiday,1953,tt0046487
1000+ Movies to Watch Before You Die,false,Ugetsu,1953,tt0046478
1000+ Movies to Watch Before You Die,false,Sansho the Bailiff,1954,tt0047445
